# BatchMatmulMaxSum 本地测试用例表
#
# 格式：id  B  M  N  K  dtype  transposeX1  transposeX2  pattern
#   dtype   : float16 | bfloat16
#   pattern : 0 = 均匀 [-1,1]
#             1 = x1∈[0,1]、x2∈[-1,0]  ⇒ 所有相似度 ≤ 0（「全负」专项）
#
# ★ 前 4 个用例是「四象限」：同一个逻辑问题，四种物理摆放。
#   它们的 golden 必须完全相同 —— 这是判定 transpose 处理对不对的基准。
#   注意 M=2、N=3、K=32 三个数互不相等，这样任何维度读错都会立刻暴露。

# id   B   M    N    K    dtype       tx1  tx2  pattern
 1   1   2    3    32   float16      0    0    0
 2   1   2    3    32   float16      1    0    0
 3   1   2    3    32   float16      0    1    0
 4   1   2    3    32   float16      1    1    0

# --- 非对齐尾块（M、N 都不是 16 的倍数，K 不是 16 的倍数）---
 5   1   17   19   40   float16      0    0    0
 6   1   17   19   40   float16      1    1    0

# --- 全负相似度（对应赛题示例3、评测点 2）---
 7   1   1    2    32   float16      0    0    1
 8   1   8    8    32   float16      0    0    1

# --- 多 batch（考多核分配）---
 9   8   16   16   64   float16      0    0    0
10   8   17   19   40   float16      1    1    0

# --- bfloat16 分支 ---
11   1   2    3    32   bfloat16     0    0    0
12   1   2    3    32   bfloat16     1    1    0

# --- M 超过 baseM(64) 一个块，触发 M 分块循环 ---
13   1   65   16   32   float16      0    0    0
14   1   255  33   32   float16      0    0    0

# --- N 超过 kTileN(256)，触发 N 分块循环 ---
15   1   16   257  32   float16      0    0    0
16   1   16   300  32   float16      1    1    0

# ===========================================================================
# --- 大用例：复现平台 B 群那种毫秒级耗时 ---
#
# 为什么需要它们：
#   小用例（case01）本地实测 80us，但其中 70us 是固定开销，
#   真正算矩阵只占 7.8us —— **看不出算法本身的问题**。
#   平台的用时分布里有一群是 2~4ms，那才是真正吃时间的地方，
#   而现有用例最大的才 M=255，根本复现不出来。
#
# 三个用例分别针对三种不同的并行度瓶颈：
#   17  B=1  —— 只有 1 个核能干活，其余核全闲着（"一个核一个 batch"最吃亏）
#   18  B=8  —— 8 个核能干活，看核数够不够
#   19  B=16 且 M=1024 —— 核多且每个核内部还要串行跑 16 个 M 块
# ===========================================================================
17   1   1024 1024 1024 float16      0    0    0
18   8   512  512  512  float16      0    0    0
19   16  1024 1024 512  float16      0    0    0

# ===========================================================================
# --- 探针：定位「大形状静默失败」的边界 ---
#
# 现象：case17/18/19 三个都在赛题允许范围内（各自 B×M×K ≤ 2^26），
#       却全部输出 0、耗时不增加、也不报错。
#
# 设计：K 固定 32（数据量极小，排除「总量太大」这个因素），只动 M 和 N。
#       case14 (M=255, N=33, K=32) 是已知能过的，从它往上探。
#
#   20  M=256 N=256   两个方向同时翻倍
#   21  M=512 N=512   再翻一倍 —— 若 20 过、21 挂，边界就在 256~512 之间
#   22  M=128 N=512   只有 N 大 —— 若挂，说明问题在 N
#   23  M=512 N=128   只有 M 大 —— 若挂，说明问题在 M
# ===========================================================================
20   1   256  256  32   float16      0    0    0
21   1   512  512  32   float16      0    0    0
22   1   128  512  32   float16      0    0    0
23   1   512  128  32   float16      0    0    0
